arXiv:1411.5027, Probing the Physical Conditions of Atomic Gas at High Redshift,
arXiv:1411.5030, Observational Cosmology With Semi-Relativistic Stars,
arXiv:1411.5039, Introduction to astroML: Machine Learning for Astrophysics, 
arXiv:1411.5018, Frequentism and Bayesianism: A Python-driven Primer, 
arXiv:1404.5299, A Simple Technique for Predicting High-Redshift Galaxy Evolution,
arXiv:1403.1211, Foldscope: Origami-based paper microscope,
arXiv:1403.5466, New observations of z~7 galaxies: evidence for a patchy reionization,
arXiv:1411.2589, Spatially Resolved Gas Kinematics within a Lyα Nebula: Evidence for Large-scale Rotation,
arXiv:1411.1511, Galaxy Groups,
arXiv:1411.3330, Cosmic Dawn: Studies of the Earliest Galaxies and Their Role in Cosmic Reionization,
arXiv:1411.0753, Dark matter and dark energy from Bose-Einstein condensate,
arXiv:0709.3924, The Hubble Constant,
arXiv:1312.7784, A high order special relativistic hydrodynamic and magnetohydrodynamic code with space-time adaptive mesh refinement,
arXiv:1411.5375, Model-independent evidence in favor of an end to reionization by z~6,
arXiv:1411.5304, Educational Robotics of low cost applied to Physics Teaching in Brazil,
arXiv:1411.5860, Observations of General Relativity at strong and weak limits,
arXiv:1411.5691, A search for Population III galaxies in CLASH. I. Singly-imaged candidates at high redshift,
arXiv:1410.7695, Worlds beyond our own,
arXiv:1410.7374, Internalizing Null Extraterrestrial Signals: An Astrobiological App for a Technological Society,
arXiv:1411.6331, The mass-metallicity relation of Lyman-break analogues and its dependence on galaxy properties,
arXiv:1411.6212, Physical properties of compact star-forming galaxies at z∼2−3,
arXiv:1411.6016, Dissecting the Gaseous Halos of z~2 Damped Lyα Systems with Close Quasar Pairs,
arXiv:1409.6098, Alignment of quasar polarizations with large-scale structures,
arXiv:1411.6128, Testing the quasi-static approximation in f(R) gravity simulations,
arXiv:1405.4869, Rapid Decline of Lyman-alpha Emission Toward the Reionization Era,
arXiv:1310.6031, A Rapidly Star-forming Galaxy 700 Million Years After the Big Bang at z=7.51,
arXiv:1401.5466v3, The Zel’dovich approximation,
arXiv:1412.2712v1, Physical Models of Galaxy Formation in a Cosmological Framework,
arXiv:1104.0712v1, Non-Gravitational Contributions to the Clustering of Ly Alpha Selected Galaxies: Implications for Cosmological Surveys,
arXiv:1412.3364v1, MAGGIE Models and Algorithms for Galaxy Groups Interlopers and Environment,
arXiv:1412.3451v1, galpy A python LIBRARY FOR GALACTIC DYNAMICS,
arXiv:1402.4119,  An unidentified line in X-ray spectra of the Andromeda galaxy and Perseus galaxy cluster,
arXiv:1412.3564, Cosmological constraints from the redshift dependence of the Alcock-Paczynski test galaxy density gradient field,
arXiv:1412.3515,  Angular momentum - mass relation for dark matter haloes,
arXiv:1412.5195,  Rapid simulation rescaling from standard to modified gravity models,
arXiv:1412.5187,  High performance computing and numerical modelling,
arXiv:1407.0059v2, Beyond the Cosmological Standard Model,
arXiv:1006.4365, Angular Momentum Evolution in Dark Matter Halos,
arXiv:astro-ph/0011001 ,A UNIVERSAL ANGULAR MOMENTUM PROFILE FOR GALACTIC HALOS,
arXiv:1501.01980, Spatially adaptive radiation-hydrodynamical simulations of galaxy formation during cosmological reionization, 
arXiv:1408.3649v1, Spectroscopic detections of CIII]L 1909A at z~6-7 A new probe of early star forming galaxies and cosmic reionisation,
arXiv:1504.05578v1, On the Physical Origin of Galactic Conformity,
arXiv:1504.04015, Beacons In the Dark: Using Novae and Supernovae to Detect Dwarf Galaxies in the Local Universe,
arXiv:1504.06335v1, Physics of the Cosmic Microwave Background Radiation,
arXiv:1504.06619v1, The BlueTides Simulation: First Galaxies and Reionization,
arXiv:1504.06621v1, The Local Group as a time machine: studying the high-redshift Universe with nearby galaxies,
arXiv:1504.06881v1, Spectroscopic detection of CIV1548 in a galaxy at z= 7.045:Implications for the ionizing spectra of reionization-era galaxies,
arXiv:1504.06990v1, Isolated compact elliptical galaxies: Stellar systems that ran away,
arXiv:1504.06948v1, Observed and predicted Lyα and UV lines for a sample of galaxies at redshifts z < 3.7,
arXiv:1411.2589v1, SPATIALLY RESOLVED GAS KINEMATICS WITHIN A Lyα NEBULA: EVIDENCE FOR LARGE-SCALE ROTATION,
